code,hl,name
zh-HK,bs,kineski (Hong Kong)
zh-TW,bs,kineski (Tajvan)
zu,bs,zulu
af,ca,afrikaans
am,ca,amhàric
ar,ca,àrab
as,ca,assamès
az,ca,azerbaidjanès
be,ca,belarús
bg,ca,búlgar
bn,ca,bengalí
bs,ca,bosnià
ca,ca,català
cs,ca,txec
da,ca,danès
de,ca,alemany
el,ca,grec
en-GB,ca,anglès (Regne Unit)
en-IN,ca,anglès (Índia)
en,ca,anglès
es,ca,espanyol
es-419,ca,espanyol (Amèrica Llatina)
es-US,ca,espanyol (Estats Units)
et,ca,estonià
eu,ca,basc
fa,ca,persa
fi,ca,finès
fil,ca,filipí
fr-CA,ca,francès (Canadà)
fr,ca,francès
gl,ca,gallec
gu,ca,gujarati
hi,ca,hindi
hr,ca,croat
hu,ca,hongarès
hy,ca,armeni
id,ca,indonesi
is,ca,islandès
it,ca,italià
iw,ca,hebreu
ja,ca,japonès
ka,ca,georgià
kk,ca,kazakh
km,ca,khmer
kn,ca,kannada
ko,ca,coreà
ky,ca,kirguís
lo,ca,laosià
lt,ca,lituà
lv,ca,letó
mk,ca,macedoni
ml,ca,malaiàlam
mn,ca,mongol
mr,ca,marathi
ms,ca,malai
my,ca,birmà
no,ca,noruec
ne,ca,nepalès
nl,ca,neerlandès
or,ca,oriya
pa,ca,panjabi
pl,ca,polonès
pt,ca,portuguès
pt-PT,ca,portuguès (Portugal)
ro,ca,romanès
ru,ca,rus
si,ca,singalès
sk,ca,eslovac
sl,ca,eslovè
sq,ca,albanès
sr-Latn,ca,serbi (llatí)
sr,ca,serbi
sv,ca,suec
sw,ca,suahili
ta,ca,tàmil
te,ca,telugu
th,ca,tai
tr,ca,turc
uk,ca,ucraïnès
ur,ca,urdú
uz,ca,uzbek
vi,ca,vietnamita
zh-CN,ca,xinès (Xina)
zh-HK,ca,xinès (Hong Kong)
zh-TW,ca,xinès (Taiwan)
zu,ca,zulu
af,cs,Afrikánština
am,cs,Amharština
ar,cs,Arabština
as,cs,Ásámština
az,cs,Ázerbájdžánština
be,cs,Běloruština
bg,cs,Bulharština
bn,cs,Bengálština
bs,cs,Bosenština
ca,cs,Katalánština
cs,cs,Čeština
da,cs,Dánština
de,cs,Němčina
el,cs,Řečtina
en-GB,cs,Angličtina (Spojené království)
en-IN,cs,Angličtina (Indie)
en,cs,Angličtina
es,cs,Španělština
es-419,cs,Španělština (Latinská Amerika)
es-US,cs,Španělština (Spojené státy)
et,cs,Estonština
eu,cs,Baskičtina
fa,cs,Perština
fi,cs,Finština
fil,cs,Filipínština
fr-CA,cs,Francouzština (Kanada)
fr,cs,Francouzština
gl,cs,Galicijština
gu,cs,Gudžarátština
hi,cs,Hindština
hr,cs,Chorvatština
hu,cs,Maďarština
hy,cs,Arménština
id,cs,Indonéština
is,cs,Islandština
it,cs,Italština
iw,cs,Hebrejština
ja,cs,Japonština
ka,cs,Gruzínština
kk,cs,Kazaština
km,cs,Khmérština
kn,cs,Kannadština
ko,cs,Korejština
ky,cs,Kyrgyzština
lo,cs,Laoština
lt,cs,Litevština
lv,cs,Lotyština
mk,cs,Makedonština
ml,cs,Malajálamština
mn,cs,Mongolština
mr,cs,Maráthština
ms,cs,Malajština
my,cs,Barmština
no,cs,Norština
ne,cs,Nepálština
nl,cs,Nizozemština
or,cs,Urijština
pa,cs,Paňdžábština
pl,cs,Polština
pt,cs,Portugalština
pt-PT,cs,Portugalština (Portugalsko)
ro,cs,Rumunština
ru,cs,Ruština
si,cs,Sinhálština
sk,cs,Slovenština
sl,cs,Slovinština
sq,cs,Albánština
sr-Latn,cs,Srbština (latinka)
sr,cs,Srbština
sv,cs,Švédština
sw,cs,Svahilština
ta,cs,Tamilština
te,cs,Telugština
th,cs,Thajština
tr,cs,Turečtina
uk,cs,Ukrajinština
ur,cs,Urdština
uz,cs,Uzbečtina
vi,cs,Vietnamština
zh-CN,cs,Čínština (Čína)
zh-HK,cs,Čínština (Hongkong)
zh-TW,cs,Čínština (Tchaj-wan)
zu,cs,Zuluština
af,da,Afrikaans
am,da,Amharisk
ar,da,Arabisk
as,da,Assamesisk
az,da,Aserbajdsjansk
be,da,Belarusisk
bg,da,Bulgarsk
bn,da,Bengali
bs,da,Bosnisk
ca,da,Catalansk
cs,da,Tjekkisk
da,da,Dansk
de,da,Tysk
el,da,Græsk
en-GB,da,Engelsk (Storbritannien)
en-IN,da,Engelsk (Indien)
en,da,Engelsk
es,da,Spansk
es-419,da,Spansk (Latinamerika)
es-US,da,Spansk (USA)
et,da,Estisk
eu,da,Baskisk
fa,da,Persisk
fi,da,Finsk
fil,da,Filippinsk
fr-CA,da,Fransk (Canada)
fr,da,Fransk
gl,da,Galicisk
gu,da,Gujarati
hi,da,Hindi
hr,da,Kroatisk
hu,da,Ungarsk
hy,da,Armensk
id,da,Indonesisk
is,da,Islandsk
it,da,Italiensk
iw,da,Hebraisk
ja,da,Japansk
ka,da,Georgisk
kk,da,Kasakhisk
km,da,Khmer
kn,da,Kannada
ko,da,Koreansk
ky,da,Kirgisisk
lo,da,Lao
lt,da,Litauisk
lv,da,Lettisk
mk,da,Makedonsk
ml,da,Malayalam
mn,da,Mongolsk
mr,da,Marathisk
ms,da,Malajisk
my,da,Burmesisk
no,da,Norsk
ne,da,Nepalesisk
nl,da,Nederlandsk
or,da,Oriya
pa,da,Punjabisk
pl,da,Polsk
pt,da,Portugisisk
pt-PT,da,Portugisisk (Portugal)
ro,da,Rumænsk
ru,da,Russisk
si,da,Singalesisk
sk,da,Slovakisk
sl,da,Slovensk
sq,da,Albansk
sr-Latn,da,Serbisk (latinsk)
sr,da,Serbisk
sv,da,Svensk
sw,da,Swahili
ta,da,Tamil
te,da,Telugu
th,da,Thai
tr,da,Tyrkisk
uk,da,Ukrainsk
ur,da,Urdu
uz,da,Usbekisk
vi,da,Vietnamesisk
zh-CN,da,Kinesisk (Kina)
zh-HK,da,Kinesisk (Hongkong)
zh-TW,da,Kinesisk (Taiwan)
zu,da,Zulu
af,de,Afrikaans
am,de,Amharisch
ar,de,Arabisch
as,de,Assamesisch
az,de,Aserbaidschanisch
be,de,Belarussisch
bg,de,Bulgarisch
bn,de,Bengalisch
bs,de,Bosnisch
ca,de,Katalanisch
cs,de,Tschechisch
da,de,Dänisch
de,de,Deutsch
el,de,Griechisch
en-GB,de,Englisch (Vereinigtes Königreich)
en-IN,de,Englisch (Indien)
en,de,Englisch
es,de,Spanisch
es-419,de,Spanisch (Lateinamerika)
es-US,de,Spanisch (Vereinigte Staaten)
et,de,Estnisch
eu,de,Baskisch
fa,de,Persisch
fi,de,Finnisch
fil,de,Filipino
fr-CA,de,Französisch (Kanada)
fr,de,Französisch
gl,de,Galicisch
gu,de,Gujarati
hi,de,Hindi
hr,de,Kroatisch
hu,de,Ungarisch
hy,de,Armenisch
id,de,Indonesisch
is,de,Isländisch
it,de,Italienisch
iw,de,Hebräisch
ja,de,Japanisch
ka,de,Georgisch
kk,de,Kasachisch
km,de,Khmer
kn,de,Kannada
ko,de,Koreanisch
